kind,id,title,access,updated,created,volumeCount,volumesLastUpdated
books#bookshelf,0,Favorites,PUBLIC,2025-03-04T22:08:47.933Z,2025-03-04T22:08:47.933Z,0,2025-03-04T22:08:47.930Z
books#bookshelf,1001,Study,PUBLIC,2025-03-04T22:08:49.829Z,2025-03-04T22:08:49.829Z,5,2025-03-04T22:08:49.828Z
