title,author_name,author_birth_year,author_death_year,translators,subjects,bookshelves,copyright,download_count
Alice's Adventures in Wonderland,"Carroll, Lewis",1832,1898,,"Alice (Fictitious character from Carroll) -- Juvenile fiction, Children's stories, Fantasy fiction, Imaginary places -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Children's Literature",False,56485
Adventures of Huckleberry Finn,"Twain, Mark",1835,1910,,"Adventure stories, Bildungsromans, Boys -- Fiction, Finn, Huckleberry (Fictitious character) -- Fiction, Fugitive slaves -- Fiction, Humorous stories, Male friendship -- Fiction, Mississippi River -- Fiction, Missouri -- Fiction, Race relations -- Fiction, Runaway children -- Fiction","Banned Books List from the American Library Association, Banned Books from Anne Haight's list, Best Books Ever Listings, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Humour, Browsing: Literature",False,30660
The Scarlet Letter,"Hawthorne, Nathaniel",1804,1864,,"Adultery -- Fiction, Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction, Clergy -- Fiction, Historical fiction, Illegitimate children -- Fiction, Married women -- Fiction, Psychological fiction, Puritans -- Fiction, Revenge -- Fiction, Triangles (Interpersonal relations) -- Fiction, Women immigrants -- Fiction","Banned Books from Anne Haight's list, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: History - American, Browsing: Literature",False,30540
A Christmas Carol in Prose; Being a Ghost Story of Christmas,"Dickens, Charles",1812,1870,,"Christmas stories, Ghost stories, London (England) -- Fiction, Misers -- Fiction, Poor families -- Fiction, Scrooge, Ebenezer (Fictitious character) -- Fiction, Sick children -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Children's Literature, Christmas",False,15577
"The Adventures of Tom Sawyer, Complete","Twain, Mark",1835,1910,,"Adventure stories, Bildungsromans, Boys -- Fiction, Child witnesses -- Fiction, Humorous stories, Male friendship -- Fiction, Mississippi River Valley -- Fiction, Missouri -- Fiction, Runaway children -- Fiction, Sawyer, Tom (Fictitious character) -- Fiction","Banned Books List from the American Library Association, Banned Books from Anne Haight's list, Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Humour, Browsing: Literature",False,15114
Anne of Green Gables,"Montgomery, L. M. (Lucy Maud)",1874,1942,,"Bildungsromans, Canada -- History -- 1867-1914 -- Fiction, Country life -- Prince Edward Island -- Fiction, Friendship -- Fiction, Girls -- Fiction, Islands -- Fiction, Orphans -- Fiction, Prince Edward Island -- History -- 20th century -- Fiction, Shirley, Anne (Fictitious character) -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: History - General, Canada, Children's Literature",False,14635
The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",1856,1919,,"Courage -- Juvenile fiction, Cowardly Lion (Fictitious character) -- Juvenile fiction, Cyclones -- Juvenile fiction, Dreams -- Juvenile fiction, Fantasy literature, Gale, Dorothy (Fictitious character) -- Juvenile fiction, Good and evil -- Juvenile fiction, Home -- Juvenile fiction, Oz (Imaginary place) -- Juvenile fiction, Scarecrow (Fictitious character from Baum) -- Juvenile fiction, Tin Woodman (Fictitious character) -- Juvenile fiction, Toto (Fictitious character) -- Juvenile fiction, Witches -- Juvenile fiction, Wizard of Oz (Fictitious character) -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Science-Fiction & Fantasy, Children's Literature, Fantasy",False,14455
The Legend of Sleepy Hollow,"Irving, Washington",1783,1859,,"Ghosts -- Fiction, New York (State) -- History -- 1775-1865 -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: History - American, Browsing: Literature, Children's Literature, Harvard Classics",False,11937
Little Women,"Alcott, Louisa May",1832,1888,,"Autobiographical fiction, Bildungsromans, Domestic fiction, Family life -- New England -- Fiction, March family (Fictitious characters) -- Fiction, Mothers and daughters -- Fiction, New England -- Fiction, Sisters -- Fiction, Young women -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature, Children's Literature",False,11359
Winnie-the-Pooh,"Milne, A. A. (Alan Alexander)",1882,1956,,"Animals -- Juvenile fiction, Christopher Robin (Fictitious character) -- Juvenile fiction, Eeyore (Fictitious character) -- Juvenile fiction, Piglet (Fictitious character) -- Juvenile fiction, Teddy bears -- Juvenile fiction, Toys -- Juvenile fiction, Winnie-the-Pooh (Fictitious character) -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,10108
Treasure Island,"Stevenson, Robert Louis",1850,1894,,"Pirates -- Fiction, Sea stories, Treasure Island (Imaginary place) -- Fiction, Treasure troves -- Fiction","Best Books Ever Listings, Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Literature, Historical Fiction, Pirates, Buccaneers, Corsairs, etc.",False,10027
Baron Trump's Marvellous Underground Journey,"Lockwood, Ingersoll",1841,1918,,"Adventure stories, Conduct of life -- Juvenile fiction, Courtship -- Juvenile fiction, Dogs -- Juvenile fiction, Fantasy fiction, Kings and rulers -- Juvenile fiction, Queens -- Juvenile fiction, Voyages and travels -- Juvenile fiction, Voyages, Imaginary -- Juvenile fiction, Wit and humor, Juvenile, Youth -- Conduct of life -- Juvenile fiction, Youth and death -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,9847
Peter Pan,"Barrie, J. M. (James Matthew)",1860,1937,,"Fairies -- Fiction, Fantasy literature, Never-Never Land (Imaginary place) -- Fiction, Peter Pan (Fictitious character) -- Fiction, Pirates -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Browsing: Science-Fiction & Fantasy, Children's Literature, Movie Books",False,9726
Through the Looking-Glass,"Carroll, Lewis",1832,1898,,"Alice (Fictitious character from Carroll) -- Juvenile fiction, Children's stories, Fantasy fiction, Imaginary places -- Juvenile fiction","Best Books Ever Listings, Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Literature",False,8506
The Turn of the Screw,"James, Henry",1843,1916,,"Children -- Fiction, England -- Fiction, Ghost stories, Governesses -- Fiction, Psychological fiction","Best Books Ever Listings, Browsing: Fiction, Browsing: Literature, Browsing: Psychiatry/Psychology, Gothic Fiction, Horror, Opera",False,7443
The Prince and the Pauper,"Twain, Mark",1835,1910,,"Boys -- Fiction, Edward VI, King of England, 1537-1553 -- Fiction, Historical fiction, Impostors and imposture -- Fiction, London (England) -- Fiction, Lookalikes -- Fiction, Poor children -- Fiction, Princes -- Fiction, Social classes -- Fiction","Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: History - British, Browsing: Literature, Historical Fiction",False,6824
Struwwelpeter: Merry Stories and Funny Pictures,"Hoffmann, Heinrich",1809,1894,,"Behavior -- Fiction, Children -- Conduct of life -- Juvenile fiction, Children's poetry, German -- Translations into English, Children's stories, German -- Translations into English, Picture books for children, Stories in rhyme","Browsing: Children & Young Adult Reading, Browsing: Literature, Browsing: Poetry, Children's Picture Books",False,6520
The Secret Garden,"Burnett, Frances Hodgson",1849,1924,,"Gardens -- Juvenile fiction, Orphans -- Juvenile fiction, People with disabilities -- Juvenile fiction, Yorkshire (England) -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Literature, Children's Literature",False,6409
Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",1840,1928,,"Children of clergy -- Fiction, Children of the rich -- Fiction, Didactic fiction, Man-woman relationships -- Fiction, Pastoral fiction, Poor families -- Fiction, Rape victims -- Fiction, Triangles (Interpersonal relations) -- Fiction, Wessex (England) -- Fiction, Women household employees -- Fiction, Women murderers -- Fiction","Banned Books from Anne Haight's list, Browsing: Fiction, Browsing: Literature",False,6007
A Christmas Carol,"Dickens, Charles",1812,1870,,"Christmas stories, Ghost stories, London (England) -- Fiction, Misers -- Fiction, Poor families -- Fiction, Scrooge, Ebenezer (Fictitious character) -- Fiction, Sick children -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Literature, Christmas",False,5779
The Jungle Book,"Kipling, Rudyard",1865,1936,,"Adventure stories, English, Animals -- Fiction, Feral children -- Fiction, India -- Fiction, India -- History -- 19th century -- Fiction, Jungle animals -- Fiction, Jungles -- Fiction, Mowgli (Fictitious character) -- Fiction, Short stories","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature, Children's Literature, Contemporary Reviews, Movie Books, Scouts",False,5677
Mansfield Park,"Austen, Jane",1775,1817,,"Adoptees -- Fiction, Children of the rich -- Fiction, Country homes -- Fiction, Cousins -- Fiction, Domestic fiction, England -- Fiction, Love stories, Uncles -- Fiction, Young women -- Fiction","Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature",False,4993
Bleak House,"Dickens, Charles",1812,1870,,"Bildungsromans, Domestic fiction, Guardian and ward -- Fiction, Illegitimate children -- Fiction, Inheritance and succession -- Fiction, Legal stories, London (England) -- Fiction, Young women -- Fiction","Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature",False,4957
The Tale of Peter Rabbit,"Potter, Beatrix",1866,1943,,Rabbits -- Juvenile fiction,"Browsing: Children & Young Adult Reading, Browsing: Fiction, Children's Picture Books",False,4852
Just so stories,"Kipling, Rudyard",1865,1936,,"Animals -- Fiction, Children's stories, English, Short stories","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Literature, Scouts",False,4483
The Aesop for Children: With pictures by Milo Winter,Aesop,,,,"Aesop's fables -- Adaptations, Fables, Folklore","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Literature",False,4086
The Tenniel Illustrations for Carroll's Alice in Wonderland,"Tenniel, John",1820,1914,,"Children's stories, Fantasy fiction","Browsing: Art & Photography, Browsing: Children & Young Adult Reading, Browsing: Fiction",False,4010
"The Happy Prince, and Other Tales","Wilde, Oscar",1854,1900,,"Children's stories, English, Fairy tales, Short stories, English","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Literature",False,3989
The Secret Garden,"Burnett, Frances Hodgson",1849,1924,,"Gardens -- Juvenile fiction, Orphans -- Juvenile fiction, People with disabilities -- Juvenile fiction, Yorkshire (England) -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Children's Literature",False,3807
Spanish Tales for Beginners,N/A,N/A,N/A,,Spanish language -- Readers,"Browsing: Children & Young Adult Reading, Browsing: Language & Communication, Browsing: Literature",False,3693
North and South,"Gaskell, Elizabeth Cleghorn",1810,1865,,"Bildungsromans, Children of clergy -- Fiction, Didactic fiction, England, Northern -- Fiction, Mothers and daughters -- Fiction, Social classes -- Fiction, Young women -- Fiction","Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature",False,3622
Black Beauty,"Sewell, Anna",1820,1878,,"Great Britain -- History -- 19th century -- Juvenile fiction, Historical fiction, Horses -- Juvenile fiction, Human-animal relationships -- Juvenile fiction","Best Books Ever Listings, Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Children's Literature",False,3596
The Wind in the Willows,"Grahame, Kenneth",1859,1932,,"Animals -- Fiction, Country life -- Fiction, England -- Fiction, Fantasy fiction, Friendship -- Fiction, Humorous stories, Pastoral fiction, River life -- Fiction","Best Books Ever Listings, Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Humour, Children's Literature",False,3367
Der Struwwelpeter: oder lustige Geschichten und drollige Bilder,"Hoffmann, Heinrich",1809,1894,,"Behavior -- Fiction, Children -- Conduct of life -- Juvenile fiction, Children's poetry, German, Children's stories, German, Picture books for children, Stories in rhyme","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Children's Picture Books, DE Kinderbuch",False,3354
"The Junior Classics, Volume 1: Fairy and wonder tales","Neilson, William Allan",1869,1946,,Children's literature,"Browsing: Children & Young Adult Reading, Browsing: Literature",False,3350
A Little Princess: Being the whole story of Sara Crewe now told for the first time,"Burnett, Frances Hodgson",1849,1924,,"Boarding schools -- Juvenile fiction, Girls -- Juvenile fiction, London (England) -- Juvenile fiction, Orphans -- Juvenile fiction, Schools -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Literature, School Stories",False,3286
Anne of the Island,"Montgomery, L. M. (Lucy Maud)",1874,1942,,"Canada -- History -- 1914-1945 -- Fiction, Interpersonal relations -- Fiction, Nova Scotia -- History -- 20th century -- Fiction, Orphans -- Fiction, Prince Edward Island -- History -- 20th century -- Fiction, Self-perception -- Fiction, Shirley, Anne (Fictitious character) -- Fiction, Universities and colleges -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Canada, Children's Literature",False,3251
"Personal Memoirs of U. S. Grant, Complete","Grant, Ulysses S. (Ulysses Simpson)",1822,1885,,"Generals -- United States -- Biography, Grant, Ulysses S. (Ulysses Simpson), 1822-1885, Mexican War, 1846-1848 -- Personal narratives, Presidents -- United States -- Biography, United States -- History -- Civil War, 1861-1865 -- Campaigns, United States. Army -- Biography","Browsing: Biographies, Browsing: History - American, Browsing: History - Warfare, Children's History, US Civil War",False,3237
Fairy Tales of Hans Christian Andersen,"Andersen, H. C. (Hans Christian)",1805,1875,,"Children's stories, Danish -- Translations into English, Fairy tales, Fairy tales -- Denmark, Short stories","Browsing: Children & Young Adult Reading, Browsing: Literature",False,3145
The Adventures of Pinocchio,"Collodi, Carlo",1826,1890,"Della Chiesa, Carol","Fairy tales, Pinocchio (Fictitious character) -- Juvenile fiction, Puppets -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature",False,2922
Alice's Adventures in Wonderland,"Carroll, Lewis",1832,1898,,"Alice (Fictitious character from Carroll) -- Juvenile fiction, Children's stories, Fantasy fiction, Imaginary places -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Literature",False,2845
Anne of Avonlea,"Montgomery, L. M. (Lucy Maud)",1874,1942,,"Canada -- History -- 1914-1945 -- Fiction, Islands -- Fiction, Orphans -- Fiction, Prince Edward Island -- History -- 20th century -- Fiction, Shirley, Anne (Fictitious character) -- Fiction, Teachers -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Canada, Children's Literature",False,2831
The Railway Children,"Nesbit, E. (Edith)",1858,1924,,"Country life -- England -- Fiction, England -- Fiction, Family life -- Fiction, Railroads -- Fiction, Siblings -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature, Children's Fiction, Children's Literature",False,2722
A Christmas Carol,"Dickens, Charles",1812,1870,,"Christmas stories, Ghost stories, London (England) -- Fiction, Misers -- Fiction, Poor families -- Fiction, Scrooge, Ebenezer (Fictitious character) -- Fiction, Sick children -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature, Children's Literature, Christmas",False,2649
Silas Marner,"Eliot, George",1819,1880,,"Adopted children -- Fiction, Domestic fiction, England -- Fiction, Fathers and daughters -- Fiction, Foundlings -- Fiction, Weavers -- Fiction","Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature",False,2636
The Wonderful Wizard of Oz,"Baum, L. Frank (Lyman Frank)",1856,1919,,"Courage -- Juvenile fiction, Cowardly Lion (Fictitious character) -- Juvenile fiction, Cyclones -- Juvenile fiction, Dreams -- Juvenile fiction, Fantasy literature, Gale, Dorothy (Fictitious character) -- Juvenile fiction, Good and evil -- Juvenile fiction, Home -- Juvenile fiction, Oz (Imaginary place) -- Juvenile fiction, Scarecrow (Fictitious character from Baum) -- Juvenile fiction, Tin Woodman (Fictitious character) -- Juvenile fiction, Toto (Fictitious character) -- Juvenile fiction, Witches -- Juvenile fiction, Wizard of Oz (Fictitious character) -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Science-Fiction & Fantasy",False,2578
This Side of Paradise,"Fitzgerald, F. Scott (Francis Scott)",1896,1940,,"Advertising -- Fiction, Bildungsromans, Children of the rich -- Fiction, College students -- Fiction, Love stories, World War, 1914-1918 -- Veterans -- Fiction, Young men -- Fiction","Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature",False,2546
Beautiful Stories from Shakespeare,"Shakespeare, William",1564,1616,,"Children's literature, Shakespeare, William, 1564-1616 -- Stories, plots, etc. -- Juvenile literature","Browsing: Children & Young Adult Reading, Browsing: Literature, Children's Literature",False,2452
Andersen's Fairy Tales,"Andersen, H. C. (Hans Christian)",1805,1875,,"Children's stories, Danish -- Translations into English, Fairy tales, Fairy tales -- Denmark","Best Books Ever Listings, Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Literature, Children's Myths, Fairy Tales, etc., Harvard Classics",False,2451
Kidnapped,"Stevenson, Robert Louis",1850,1894,,"Adventure and adventurers -- Fiction, Historical fiction, Kidnapping -- Fiction, Scotland -- History -- 18th century -- Fiction","Adventure, Best Books Ever Listings, Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: History - European, Children's Literature, Historical Fiction, Movie Books",False,2422
The Arabian Nights Entertainments,"Lang, Andrew",1844,1912,,"Arabs -- Folklore, Children's stories, Fairy tales, Fairy tales -- Arab countries, Folklore -- Arab countries, Tales -- Arab countries","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Literature",False,2420
The Blue Fairy Book,"Lang, Andrew",1844,1912,,"Fairy tales, Folklore","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Literature, Children's Literature",False,2381
A First Spanish Reader,"Remy, Alfred",1870,1937,,"Spanish language -- Readers, Spanish language -- Textbooks for foreign speakers -- English","Browsing: Children & Young Adult Reading, Browsing: Language & Communication, Browsing: Teaching & Education, Children's Instructional Books, Language Education",False,2271
Sketches of lowly life in a great city,"Woolf, Michael Angelo",1837,1899,,"American wit and humor, Pictorial, City and town life -- United States -- Caricatures and cartoons, Poor children -- Caricatures and cartoons",,False,2211
The Scarlet Letter,"Hawthorne, Nathaniel",1804,1864,,"Adultery -- Fiction, Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction, Clergy -- Fiction, Historical fiction, Illegitimate children -- Fiction, Married women -- Fiction, Psychological fiction, Puritans -- Fiction, Revenge -- Fiction, Triangles (Interpersonal relations) -- Fiction, Women immigrants -- Fiction","Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: History - American, Browsing: Literature, Harvard Classics, Movie Books",False,2197
"The Journals of Lewis and Clark, 1804-1806","Clark, William",1770,1838,,"Clark, William, 1770-1838, Columbia River -- Description and travel, Lewis and Clark Expedition (1804-1806), Lewis, Meriwether, 1774-1809, Missouri River -- Description and travel, West (U.S.) -- Description and travel, West (U.S.) -- History -- To 1848","Browsing: History - American, Browsing: Travel & Geography, Children's History, Travel",False,2179
Pollyanna,"Porter, Eleanor H. (Eleanor Hodgman)",1868,1920,,"Aunts -- Juvenile fiction, Cheerfulness -- Juvenile fiction, Conduct of life -- Juvenile fiction, Interpersonal relations -- Juvenile fiction, Orphans -- Juvenile fiction, Vermont -- History -- 20th century -- Juvenile fiction","Bestsellers, American, 1895-1923, Browsing: Children & Young Adult Reading, Browsing: Fiction",False,2139
The Pilgrim's Progress by John Bunyan Every Child Can Read,"Bunyan, John",1628,1688,,"Christian life -- Juvenile literature, Christian pilgrims and pilgrimages -- Juvenile literature","Browsing: Children & Young Adult Reading, Browsing: Literature, Browsing: Religion/Spirituality/Paranormal",False,2128
Märchen der Gebrüder Grimm 2,"Grimm, Jacob",1785,1863,,Fairy tales -- Germany,"Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, DE Kinderbuch",False,2048
"Alice in Wonderland: A Dramatization of Lewis Carroll's ""Alice's Adventures in Wonderland"" and ""Through the Looking Glass""","Carroll, Lewis",1832,1898,,"Children's plays, Fantasy drama","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature",False,2036
"How it Works: Dealing in simple language with steam, electricity, light, heat, sound, hydraulics, optics, etc., and with their applications to apparatus in common use","Williams, Archibald",1871,1934,,"Science -- Juvenile literature, Technology -- Juvenile literature","Browsing: Children & Young Adult Reading, Browsing: Computers & Technology, Browsing: Science - General, Manufacturing, Technology",False,1998
Twice-told tales,"Hawthorne, Nathaniel",1804,1864,,"Historical fiction, American, New England -- Social life and customs -- Fiction, Short stories","Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature, Children's Literature",False,1974
Grimms' Fairy Tales,"Grimm, Jacob",1785,1863,,Fairy tales -- Germany,"Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Literature",False,1920
Now we are six,"Milne, A. A. (Alan Alexander)",1882,1956,,"Children's poetry, English","Browsing: Children & Young Adult Reading, Browsing: Poetry",False,1920
"Mother Goose's Nursery Rhymes: A Collection of Alphabets, Rhymes, Tales, and Jingles",N/A,N/A,N/A,,"Alphabet rhymes, Children's poetry, Children's songs, Humorous poetry, Nursery rhymes","Browsing: Children & Young Adult Reading, Browsing: Poetry",False,1918
The Marvelous Land of Oz,"Baum, L. Frank (Lyman Frank)",1856,1919,,"Conduct of life -- Juvenile fiction, Fantasy literature, Friendship -- Juvenile fiction, Kings and rulers -- Juvenile fiction, Magic -- Juvenile fiction, Oz (Imaginary place) -- Juvenile fiction, Practical jokes -- Juvenile fiction, Queens -- Juvenile fiction, Voyages and travels -- Juvenile fiction, Witches -- Juvenile fiction, Women soldiers -- Juvenile fiction, Youth -- Conduct of life -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Science-Fiction & Fantasy, Children's Literature, Fantasy",False,1917
Scouting for Boys,"Baden-Powell of Gilwell, Robert Stephenson Smyth Baden-Powell, Baron",1857,1941,,"Boy Scouts, Citizenship","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society",False,1886
Adventures of Huckleberry Finn,"Twain, Mark",1835,1910,,"Adventure stories, Bildungsromans, Boys -- Fiction, Finn, Huckleberry (Fictitious character) -- Fiction, Fugitive slaves -- Fiction, Humorous stories, Male friendship -- Fiction, Mississippi River -- Fiction, Missouri -- Fiction, Race relations -- Fiction, Runaway children -- Fiction","Banned Books List from the American Library Association, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Humour, Browsing: Literature",False,1851
The Real Mother Goose,N/A,N/A,N/A,,"Children's poetry, Nursery rhymes","Browsing: Children & Young Adult Reading, Browsing: Poetry, Children's Picture Books",False,1843
The Orbis Pictus,"Comenius, Johann Amos",1592,1670,"Hoole, Charles","Latin language -- Readers, Natural history -- Juvenile literature, Picture books for children","Browsing: Children & Young Adult Reading, Browsing: Teaching & Education",False,1835
Japanese Fairy Tales,"Ozaki, Yei Theodora",,,,"Fairy tales, Fairy tales -- Japan, Folklore -- Japan","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Literature, Children's Myths, Fairy Tales, etc., Folklore",False,1821
A Child's Garden of Verses,"Stevenson, Robert Louis",1850,1894,,"Children's poetry, English","Browsing: Children & Young Adult Reading, Browsing: Literature, Browsing: Poetry, Children's Literature",False,1818
The Arabian Nights: Their Best-known Tales,N/A,N/A,N/A,,"Arabs -- Folklore, Fairy tales, Fairy tales -- Arab countries, Folklore -- Arab countries, Tales -- Arab countries","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Literature, Children's Literature, Harvard Classics",False,1815
El libro de las tierras vírgenes,"Kipling, Rudyard",1865,1936,"Perés, Ramón D. (Ramón Domingo)","Adventure stories, English, Animals -- Fiction, Feral children -- Fiction, India -- Fiction, India -- History -- 19th century -- Fiction, Jungle animals -- Fiction, Jungles -- Fiction, Mowgli (Fictitious character) -- Fiction, Short stories","Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature, Browsing: Travel & Geography",False,1809
The Nursery Rhymes of England,N/A,N/A,N/A,,"Nursery rhymes, English, Oral tradition -- England","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Literature",False,1786
The sound and the fury,"Faulkner, William",1897,1962,,"African American women cooks -- Fiction, Aristocracy (Social class) -- Fiction, Domestic fiction, Illegitimate children -- Fiction, Mississippi -- Fiction, People with mental disabilities -- Fiction, Psychological fiction, Siblings -- Fiction","Browsing: Fiction, Browsing: Literature",False,1773
The Princess and the Goblin,"MacDonald, George",1824,1905,,"Children's stories, Fairy tales, Fantasy literature, Goblins -- Juvenile fiction, Princesses -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature, Children's Literature",False,1771
The Fairy Tales of Charles Perrault,"Perrault, Charles",1628,1703,"Mansion, J. E. (Jean Edmond), Samber, Robert",Fairy tales,"Browsing: Children & Young Adult Reading, Browsing: Literature",False,1750
Little Lucy's Wonderful Globe,"Yonge, Charlotte M. (Charlotte Mary)",1823,1901,,"Girls -- Juvenile fiction, National characteristics -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,1744
Fifty Famous Stories Retold,"Baldwin, James",1841,1925,,"Folklore, History, Readers","Browsing: Children & Young Adult Reading, Browsing: History - General, Browsing: Literature",False,1714
Dorothy and the Wizard in Oz,"Baum, L. Frank (Lyman Frank)",1856,1919,,"Cats -- Juvenile fiction, Cousins -- Juvenile fiction, Dragons -- Juvenile fiction, Earthquakes -- Juvenile fiction, Fantasy literature, Friendship -- Juvenile fiction, Gale, Dorothy (Fictitious character) -- Juvenile fiction, Kittens -- Juvenile fiction, Magic -- Juvenile fiction, Mountains -- Juvenile fiction, Nephews -- Juvenile fiction, Oz (Imaginary place) -- Juvenile fiction, Piglets -- Juvenile fiction, Ranches -- Juvenile fiction, Trials -- Juvenile fiction, Wizard of Oz (Fictitious character) -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Science-Fiction & Fantasy, Children's Literature, Fantasy",False,1704
Anne's House of Dreams,"Montgomery, L. M. (Lucy Maud)",1874,1942,,"Canada -- History -- 1867-1914 -- Fiction, Country life -- Prince Edward Island -- Fiction, Friendship -- Fiction, Marriage -- Fiction, Orphans -- Fiction, Prince Edward Island -- History -- 20th century -- Fiction, Shirley, Anne (Fictitious character) -- Fiction, Young women -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Canada, Children's Literature",False,1690
English Fairy Tales,N/A,N/A,N/A,,"Fairy tales -- England, Folklore -- England","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Literature, Children's Myths, Fairy Tales, etc.",False,1689
Alice's Adventures in Wonderland: Illustrated by Arthur Rackham. With a Proem by Austin Dobson,"Carroll, Lewis",1832,1898,,"Alice (Fictitious character from Carroll) -- Juvenile fiction, Children's stories, Fantasy fiction, Imaginary places -- Juvenile fiction","Banned Books from Anne Haight's list, Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature",False,1678
Heath's Modern Language Series: The Spanish American Reader,"Nelson, Ernesto",,,,Spanish language -- Readers,"Browsing: Children & Young Adult Reading, Browsing: Language & Communication, Browsing: Literature",False,1668
Little Dorrit,"Dickens, Charles",1812,1870,,"Children of prisoners -- Fiction, Debt, Imprisonment for -- Fiction, Domestic fiction, Fathers and daughters -- Fiction, Inheritance and succession -- Fiction, London (England) -- Fiction, Love stories, Marshalsea Prison (Southwark, London, England) -- Fiction","Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature",False,1664
