title,author_name,author_birth_year,author_death_year,translators,subjects,bookshelves,copyright,download_count
Clover,"Coolidge, Susan",1835,1905,,"Conduct of life -- Juvenile fiction, Courtship -- Juvenile fiction, Cousins -- Juvenile fiction, Families -- Juvenile fiction, Physicians -- Juvenile fiction, Ranches -- Juvenile fiction, Sisters -- Juvenile fiction, Weddings -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Children's Literature",False,186
Onder Moeders Vleugels,"Alcott, Louisa May",1832,1888,,"Family life -- New England -- Fiction, March family (Fictitious characters) -- Fiction, New England -- Fiction, Sisters -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature, Children's Literature",False,186
"A Museum for Young Gentlemen and Ladies: Or, a Private Tutor for Little Masters and Misses",Unknown,,,,"Children's reference books, Geography -- Juvenile literature, Great Britain -- History -- Juvenile literature, Handbooks, vade-mecums, etc. -- Juvenile literature, Manners and customs -- Juvenile literature","Browsing: Children & Young Adult Reading, Browsing: Encyclopedias/Dictionaries/Reference",False,186
Glyn Severn's Schooldays,"Fenn, George Manville",1831,1909,,"Boarding schools -- England -- Juvenile fiction, East Indians -- England -- Juvenile fiction, Friendship -- Juvenile fiction, Princes -- India -- Juvenile fiction, Schools -- Fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Teaching & Education, School Stories",False,186
Jarwin and Cuffy,"Ballantyne, R. M. (Robert Michael)",1825,1894,,"Castaways -- Juvenile fiction, Dog owners -- Juvenile fiction, Human-animal relationships -- Juvenile fiction, Robinsonades, Shipwreck survival -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Children's Fiction",False,186
The Buffalo Runners: A Tale of the Red River Plains,"Ballantyne, R. M. (Robert Michael)",1825,1894,,"Frontier and pioneer life -- Canada -- Juvenile fiction, Indians of North America -- Canada -- Juvenile fiction, Red River Settlement -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction, Browsing: Literature, Children's Fiction",False,186
The Trial of William Tinkling: Written by Himself at the Age of 8 Years,"Dickens, Charles",1812,1870,,"Children's stories, English","Browsing: Children & Young Adult Reading, Browsing: Literature, Children's Picture Books",False,186
"The Voyages of the ""Ranger"" and ""Crusader"": And what befell their Passengers and Crews.","Kingston, William Henry Giles",1814,1880,,Seafaring life -- Juvenile fiction,"Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Literature",False,186
Hollowdell Grange: Holiday Hours in a Country Home,"Fenn, George Manville",1831,1909,,"Boys -- England -- Juvenile fiction, Country life -- England -- Juvenile fiction, Cousins -- Juvenile fiction, Vacations -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Culture/Civilization/Society, Browsing: Fiction",False,186
"The Pony Rider Boys in the Alkali; Or, Finding a Key to the Desert Maze","Patchin, Frank Gee",1861,1925,,"Alkali lands -- Juvenile fiction, Deserts -- Juvenile fiction, Horsemanship -- Juvenile fiction, Nevada -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,186
Boy Scouts in Glacier Park: The Adventures of Two Young Easterners in the Heart of the High Rockies,"Eaton, Walter Prichard",1878,1957,,"Boy Scouts -- Juvenile fiction, Glacier National Park (Mont.) -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction, Browsing: Travel & Geography",False,186
"The Corner House Girls Snowbound: How They Went Away, What They Discovered, and How It Ended","Hill, Grace Brooks",,,,"Sisters -- Juvenile fiction, Winter -- Juvenile fiction","Browsing: Children & Young Adult Reading, Browsing: Fiction",False,186
